item,itemLabel,coords,image,dgpcid
http://www.wikidata.org/entity/Q66813068,Casa da Família Nunes da Silva e capela,Point(-8.621903 40.859267),,155815
http://www.wikidata.org/entity/Q66813075,Casa da Quinta do Morgado,Point(-8.491408 40.891202),http://commons.wikimedia.org/wiki/Special:FilePath/Quinta%20do%20Morgado%202.jpg,72280
http://www.wikidata.org/entity/Q66813084,Conjunto - Ponte da Fontinha e moínho junto,Point(-8.314519 40.853666),,3928543
http://www.wikidata.org/entity/Q66813088,Conjunto - Igreja da Misericórdia de Messejana (Prisão e Torre),Point(-8.245182 37.834603),,6325375
http://www.wikidata.org/entity/Q66813159,"Quinta do Mosteiro de Rendufe, Sequeiro e Eira, estruturas hidráulicas em pedra, minas, aqueduto subterrâneo e aéreo, tanque e levadas)",Point(-8.405707 41.635917),,3929800
http://www.wikidata.org/entity/Q66813169,Feira de Barcelos,Point(-8.617863 41.532641),http://commons.wikimedia.org/wiki/Special:FilePath/Feira%20de%20Barcelos%20-%20panoramio.jpg,3885701
http://www.wikidata.org/entity/Q66813190,Residências anexas à Casa dos Maciéis Aranhas (2),Point(-8.428505 41.552926),http://commons.wikimedia.org/wiki/Special:FilePath/Resid%C3%AAncias%20anexas%20Macieis%20Aranha%2005.jpg,74659
http://www.wikidata.org/entity/Q66813191,Edifícios na Rua de Santo António das Travessas (2),Point(-8.427885 41.548246),,74758
http://www.wikidata.org/entity/Q66813195,"Casa e Quinta de São Brás da Torre, incluindo capela, jardim e mata",Point(-8.439405 41.507706),http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20e%20Quinta%20de%20S%C3%A3o%20Br%C3%A1s%20da%20Torre%20%282%29.jpg,156308
http://www.wikidata.org/entity/Q66813195,"Casa e Quinta de São Brás da Torre, incluindo capela, jardim e mata",Point(-8.439405 41.507706),http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20e%20Quinta%20de%20S%C3%A3o%20Br%C3%A1s%20da%20Torre%20%282%29.jpg,156308
http://www.wikidata.org/entity/Q66813209,Casa da Igreja,Point(-7.978878 41.433855),,156327
http://www.wikidata.org/entity/Q66813210,"Casa da Gandarela, Capela de Santo António e jardim",Point(-8.031772 41.458109),,3957838
http://www.wikidata.org/entity/Q66813226,Casa e Quinta de Minotes,Point(-8.305199 41.462792),http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20e%20Quinta%20de%20Minotes%20%282%29.jpg,71398
http://www.wikidata.org/entity/Q66813401,Rua de D. João I,Point(-8.298889 41.441919),http://commons.wikimedia.org/wiki/Special:FilePath/Cafe%20Por%20Do%20Sol%20%40%20Guimar%C3%A3es.jpg,75003
http://www.wikidata.org/entity/Q66813415,Casa da Laje e Capela de Santo António,Point(-8.296933 41.629257),http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20da%20Laje%20%281%29.jpg,5054715
http://www.wikidata.org/entity/Q66813433,"Casa, Quinta e mata de Pindela",Point(-8.49943 41.443989),http://commons.wikimedia.org/wiki/Special:FilePath/Quinta%20de%20Pindela%20%289%29.jpg,341985
http://www.wikidata.org/entity/Q66813435,Casa de Santiago e Aqueduto,Point(-8.428629 41.409289),,5622017
http://www.wikidata.org/entity/Q66813435,Casa de Santiago e Aqueduto,Point(-8.427713 41.408371),,5622017
http://www.wikidata.org/entity/Q66813512,"Igreja de Santo Apolinário, fonte e cruzeiro",Point(-7.030086 41.075958),,71424
http://www.wikidata.org/entity/Q66813542,"Casa da Corujeira, anexos agrícolas e logradouro",Point(-7.003122 41.836054),,156169
http://www.wikidata.org/entity/Q66813572,Terlamonte,Point(-7.444949 40.298819),,72076
http://www.wikidata.org/entity/Q66813624,Conjunto da Alameda e Igreja Matriz do Vale de Nossa Senhora da Póvoa,Point(-7.219785 40.271256),,72254
http://www.wikidata.org/entity/Q66813685,Igreja e Hospital da Santa Casa da Misericórdia,Point(-7.455320835 38.805919647),,340790
http://www.wikidata.org/entity/Q66813717,Conjunto Megalítico de Vale de Rodrigo,Point(-8.068883 38.508971),,74113
http://www.wikidata.org/entity/Q66813720,Menir e pedras no Vale dos Cardos a 1 Kn a S-SE do Cromeleque da Herdade dos Almendres,Point(-8.05508 38.551302),,74646
http://www.wikidata.org/entity/Q66813774,Edificações junto à Igreja Matriz de Brotas,Point(-8.158443 38.872014),http://commons.wikimedia.org/wiki/Special:FilePath/Edifica%C3%A7%C3%A3o%20junto%20da%20Igreja%20de%20Brotas%20%2815%29.jpg,73965
http://www.wikidata.org/entity/Q66813800,Monte Velho do Outeiro de Santo António,Point(-8.431835 38.66805),,73870
http://www.wikidata.org/entity/Q66813814,"Igreja de Nossa Senhora da Lapa, hospedaria de peregrinos, moradia do capelão e do eremita",Point(-7.424215 38.777597),,73285
http://www.wikidata.org/entity/Q66813912,Conjunto da Igreja e Rossio da Luz de Tavira,Point(-7.704059 37.092016),http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20de%20Nossa%20Senhora%20da%20Luz%20%2811952361644%29.jpg,70935
http://www.wikidata.org/entity/Q66813995,Igreja e Edifício da Misericórdia da Guarda,Point(-8.122209 39.675625),http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20e%20Edif%C3%ADcio%20da%20Miseric%C3%B3rdia%20da%20Guarda%20002.jpg,74992
http://www.wikidata.org/entity/Q66814004,"Antigas Casas dos Magistrados, sitas na Rua João Pinto Ribeiro",Point(-7.266625 40.540397),http://commons.wikimedia.org/wiki/Special:FilePath/Antigas%20casa%20dos%20magistrados%20Guarda.jpg,11135199
http://www.wikidata.org/entity/Q66814044,"Casa da cerca de Santa Rita e capela anexa, Museu do Brinquedo de Seia",Point(-7.702336 40.418646),,73751
http://www.wikidata.org/entity/Q66814053,Conjunto de sepulturas escavadas em rocha,Point(-7.351273 40.780532),,74154
http://www.wikidata.org/entity/Q66814055,"Conjunto arquitectónico constituído pela Torre de Terrenho, casa e capela",Point(-7.359917 40.890451),http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20Terrenho%20-%20Portugal%20%284812629103%29.jpg,74192
http://www.wikidata.org/entity/Q66814055,"Conjunto arquitectónico constituído pela Torre de Terrenho, casa e capela",Point(-7.359917 40.890451),http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20Terrenho%20-%20Portugal%20%284812629103%29.jpg,74190
http://www.wikidata.org/entity/Q66814076,Residência de João Marçal,Point(-7.269663 41.052277),,71731
http://www.wikidata.org/entity/Q66814102,Núcleo construído da Quinta do Vimeiro,Point(-9.03307 39.480544),,71717
http://www.wikidata.org/entity/Q66814128,"Conjunto do Edifício solarengo, pertencente às famílias Salles Zuquet e Oliveira Simões, Solar da Quinta do Fidalgo",Point(-8.828614 39.658162),,73466
http://www.wikidata.org/entity/Q66814254,Quinta da Musgueira,Point(-9.150285 38.773332),,70883
http://www.wikidata.org/entity/Q66814270,"Conjunto urbano da Mouraria, conjunto urbano na esquina da Rua da Mouraria, nº 80-82 e 84-90 com a Rua do Capelão nº 4, 6 e 8",Point(-9.135261 38.716306),,71264
http://www.wikidata.org/entity/Q66814304,"Zona circundante do Palácio Nacional da Ajuda (Jardim das Damas, Salão de Física, Torre Sineira, Paço Velho e Jardim Botânico)",Point(-9.200848 38.706446),http://commons.wikimedia.org/wiki/Special:FilePath/Vis%C3%A3o%20geral%20do%20Jardim%20Bot%C3%A2nico%20da%20Ajuda.jpg,72758
http://www.wikidata.org/entity/Q66814320,Zona antiga de Carnide - Luz,Point(-9.183729 38.760932),,73599
http://www.wikidata.org/entity/Q66814332,Edifícios na Rua de São José (e jardins),Point(-9.141826 38.718546),,74175
http://www.wikidata.org/entity/Q66814358,Paço do Lumiar,Point(-9.17221 38.773427),http://commons.wikimedia.org/wiki/Special:FilePath/Largo%20de%20S%C3%A3o%20Jo%C3%A3o%20Baptista%20-%20Casa%20da%20Fam%C3%ADlia%20Palmela%208440.jpg,74722
http://www.wikidata.org/entity/Q66814360,Praça da Viscondessa dos Olivais,Point(-9.10652 38.768793),http://commons.wikimedia.org/wiki/Special:FilePath/Pra%C3%A7a%20da%20Viscondessa%20dos%20Olivais%20%28Lisboa%29.jpg,74784
http://www.wikidata.org/entity/Q66814388,"Quinta da Ribeirinha (conjunto da casa de fresco, pórtico e casa de habitação)",Point(-9.127196311 38.800548553),,70771
http://www.wikidata.org/entity/Q66814441,Complexo arqueológico de Olelas (Serra de Olelas),Point(-9.281544 38.83946),,70876
http://www.wikidata.org/entity/Q66814462,Sítio de Santa Eufémia da Serra,Point(-9.385132 38.78636),,73572
http://www.wikidata.org/entity/Q66814471,"Paço dos Ribafrias, Casa dos Ribafrias",Point(-9.39251 38.795784),,4329198
http://www.wikidata.org/entity/Q66814634,Construções setecentistas e chafariz do Largo 28 de Janeiro,Point(-7.434153 39.29247),,71012
http://www.wikidata.org/entity/Q66814649,Ínsua no rio Tâmega e Ilha dos Frades,Point(-8.073668 41.270382),http://commons.wikimedia.org/wiki/Special:FilePath/%C3%8Dnsua%20no%20rio%20T%C3%A2mega.jpg,69959
http://www.wikidata.org/entity/Q66814664,Casa e Quinta da Tardinhade,Point(-8.062805175 41.302509307),http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20de%20Tardinhade1.jpg,155982
http://www.wikidata.org/entity/Q66814668,"Casa de Agrelos, incluindo Capela, terraço com balustrada e jardim de buxo",Point(-8.021687 41.121026),,156008
http://www.wikidata.org/entity/Q66814678,"Quinta da Bouça dos Capuchinhos (casa, capela jardins e portais)",Point(-8.532562 41.145839),,156064
http://www.wikidata.org/entity/Q66814679,"Imóvel da Rua da Nossa Senhora do Amparo (construção principal, capela e terrenos anexos)",Point(-8.544668 41.175396),,156066
http://www.wikidata.org/entity/Q66814691,Conjunto constituido pela Igreja e Casa do Mosteiro de São Salvador de Moreira,Point(-8.650534 41.245135),http://commons.wikimedia.org/wiki/Special:FilePath/Mosteiro%20de%20S%C3%A3o%20Salvador%2C%20Moreira%2C%20Maia%20%28Portugal%29%20%283628355469%29.jpg,156078
http://www.wikidata.org/entity/Q66814702,Conjunto: Igreja de Santa Maria (Marco de Canaveses) e Igreja de São Nicolau (Marco de Canaveses),Point(-8.15943 41.193381),,74615
http://www.wikidata.org/entity/Q66814725,Capela de São Francisco e Casa Hospício,Point(-8.337195 41.288573),,71751
http://www.wikidata.org/entity/Q66814738,Conjunto - Igreja de Vilela e Mosteiro de Vilela (cruzeiro fronteiro e parte da Quinta do Mosteiro),Point(-8.388667 41.234659),,156107
http://www.wikidata.org/entity/Q66814761,Jardim do Passeio Alegre,Point(-8.671744 41.148232),http://commons.wikimedia.org/wiki/Special:FilePath/Zona%20do%20Passeio%20Alegre.jpg,74769
http://www.wikidata.org/entity/Q66814762,"Quarteirão compreendido entre as ruas de Marechal Saldanha, Côrte Real, da Escola e da Índia",Point(-8.680873 41.159061),,155832
http://www.wikidata.org/entity/Q66814775,Conjunto na Zona do Campo Alegre e Arrábida,Point(-8.630829 41.15183),,6881275
http://www.wikidata.org/entity/Q66814799,"Casas nº 99, 100 e 103 da Rua do Padrão",Point(-8.679671 41.156524),,14898446
http://www.wikidata.org/entity/Q66814836,Parte antiga de Vila de Conde e Azurara,Point(-8.743186 41.353409),http://commons.wikimedia.org/wiki/Special:FilePath/Parte%20antiga%20de%20Vila%20de%20Conde.jpg,4033125
http://www.wikidata.org/entity/Q66815060,Casa da Quinta do Pátio de Água,Point(-8.977498 38.706959),,71696
http://www.wikidata.org/entity/Q66815076,Igreja de Nossa Senhora da Graça (casa e fonte),Point(-8.743266 38.04355),http://commons.wikimedia.org/wiki/Special:FilePath/Church%20Alentejo-Portugal.jpg,72023
